playerID,AB,H,AVE
batchjo01,3,0,0
batchri01,2,0,0
batemjo01,3330,765,0.2297297297
batesaa01,11,4,0.3636363636
batesbi01,48,6,0.125
batesbu01,58,15,0.2586206897
batesch01,38,9,0.2368421053
batesde01,60,8,0.1333333333
batesfr01,77,16,0.2077922078
batesja01,677,162,0.2392909897
batesjo01,4,0,0
batesjo02,3913,1087,0.2777919755
batesra01,515,120,0.2330097087
bathebi01,183,39,0.2131147541
batiske01,8,2,0.25
batiski01,658,154,0.2340425532
batismi01,311,28,0.09003215434
batisra01,25,7,0.28
batisto01,4568,1146,0.2508756567
battala01,4,1,0.25
batteea01,3586,969,0.2702175125
battege01,3,0,0
battijo01,1953,439,0.2247823861
battlal01,248,57,0.2298387097
battlho01,37,9,0.2432432432
battlji01,8,3,0.375
battsma01,1605,432,0.2691588785
baueral01,23,5,0.2173913043
bauerha01,5145,1424,0.2767735666
bauerja01,323,65,0.2012383901
bauerru01,207,50,0.2415458937
bauertr01,24,1,0.04166666667
baughju01,218,55,0.252293578
baumabu01,1,0,0
baumafr01,225,49,0.2177777778
baumapa01,904,248,0.2743362832
baumeji01,34,7,0.2058823529
baumgge01,215,31,0.1441860465
baumgha01,4,1,0.25
baumgjo01,27,5,0.1851851852
baumgro01,12,1,0.08333333333
baumgst01,158,30,0.1898734177
baumhfr01,3477,1010,0.2904802991
bausege01,21,1,0.04761904762
bautaed01,17,3,0.1764705882
bautida01,2517,685,0.2721493842
bautide01,8,2,0.25
bautijo01,50,5,0.1
